REBAL DAYS,SPLIT,tracking error,average turnover,1%,4%,OU ratio,rebalance cost
30,"(5, 15)",2.113233409501059,0.332089552238806,0.29411764705882354,0.10294117647058823,2.526315789473684,0.6615676331074872
30,"(10, 10)",2.063192387336714,0.34776119402985073,0.29411764705882354,0.1323529411764706,2.35,0.6729785101781635
30,"(15, 5)",1.8078092841940685,0.35447761194029853,0.36764705882352944,0.029411764705882353,1.9130434782608696,0.6767889441873831
30,"(5, 20)",1.8704789374042836,0.2937313432835821,0.27941176470588236,0.058823529411764705,2.526315789473684,0.7616801043220021
30,"(10, 15)",1.7800686906017746,0.3128358208955224,0.2647058823529412,0.04411764705882353,2.9411764705882355,0.7774292206936928
30,"(15, 10)",1.5678101967913447,0.30029850746268666,0.36764705882352944,0.029411764705882353,2.7222222222222223,0.7666641866684891
30,"(5, 25)",1.776576071380798,0.23034825870646763,0.45588235294117646,0.08823529411764706,2.526315789473684,0.8312754263545352
30,"(10, 20)",1.6270672947055953,0.25223880597014925,0.35294117647058826,0.058823529411764705,3.466666666666667,0.8517276960369347
30,"(15, 15)",1.6100270581420335,0.2577114427860696,0.35294117647058826,0.04411764705882353,3.1875,0.8565995794330582
30,"(25, 5)",1.6293739191202397,0.2263681592039801,0.45588235294117646,0.014705882352941176,1.7916666666666667,0.8261322706969736
60,"(5, 15)",3.797289434130678,0.4166666666666667,0.20588235294117646,0.35294117647058826,2.0,0.7290599269308432
60,"(10, 10)",2.917367934697132,0.4348484848484848,0.17647058823529413,0.23529411764705882,3.7142857142857144,0.7413336780347627
60,"(15, 5)",2.5840295880447774,0.4378787878787879,0.29411764705882354,0.14705882352941177,2.3,0.7421495924453603
60,"(5, 20)",2.728606701424626,0.32606060606060605,0.29411764705882354,0.23529411764705882,3.7142857142857144,0.7939432333186685
60,"(10, 15)",2.7368843945240973,0.3563636363636364,0.14705882352941177,0.20588235294117646,3.7142857142857144,0.8186263650117962
60,"(15, 10)",2.473918157388548,0.36,0.20588235294117646,0.17647058823529413,3.7142857142857144,0.821697204930652
60,"(5, 25)",2.7958062912588684,0.26363636363636367,0.20588235294117646,0.2647058823529412,3.7142857142857144,0.8678021729467771
60,"(10, 20)",2.3854653666180505,0.27070707070707073,0.2647058823529412,0.11764705882352941,7.25,0.8735392365329034
60,"(15, 15)",2.481681057756989,0.29797979797979796,0.2647058823529412,0.20588235294117646,3.7142857142857144,0.8993645689477018
60,"(25, 5)",2.318968084924289,0.28080808080808084,0.17647058823529413,0.20588235294117646,5.6,0.8829188029347841
91,"(5, 15)",4.383476826757182,0.3952380952380953,0.0,0.5,4.25,0.7212232097063298
91,"(10, 10)",4.064794226133039,0.43809523809523804,0.18181818181818182,0.4090909090909091,3.2,0.7496593327979455
91,"(15, 5)",4.361480171453552,0.4333333333333333,0.2727272727272727,0.45454545454545453,2.5,0.7454980079107003
91,"(5, 20)",3.6335068993650044,0.3314285714285715,0.09090909090909091,0.5,4.25,0.8042124058048817
91,"(10, 15)",3.6030227560326757,0.38857142857142857,0.22727272727272727,0.5454545454545454,6.0,0.8518289286394325
91,"(15, 10)",4.281317648840515,0.38476190476190486,0.09090909090909091,0.45454545454545453,4.25,0.8473601443258855
91,"(5, 25)",4.248010539429437,0.2666666666666666,0.09090909090909091,0.4090909090909091,4.25,0.8767668897073104
91,"(10, 20)",3.220310725150595,0.2857142857142857,0.13636363636363635,0.5,9.5,0.8942255800916507
91,"(15, 15)",3.084186852602151,0.30634920634920626,0.22727272727272727,0.36363636363636365,4.25,0.9118547427167382
91,"(25, 5)",4.227854919362197,0.2777777777777778,0.09090909090909091,0.4090909090909091,3.2,0.8836768291921723
182,"(5, 15)",11.346580479005361,0.495,0.0,0.6363636363636364,10.0,0.8014554214251771
182,"(10, 10)",6.571492779314677,0.53,0.0,0.7272727272727273,10.0,0.8277642118432461
182,"(15, 5)",5.843923825453197,0.53,0.09090909090909091,0.5454545454545454,9.0,0.8241086045445895
182,"(5, 20)",9.532770459044423,0.404,0.09090909090909091,0.7272727272727273,9.0,0.8735344720017634
182,"(10, 15)",8.652521453966923,0.44000000000000006,0.09090909090909091,0.6363636363636364,10.0,0.9026332004127678
182,"(15, 10)",5.548635662522405,0.4040000000000001,0.0,0.8181818181818182,10.0,0.8756263601740089
182,"(5, 25)",9.323839614955853,0.3333333333333333,0.09090909090909091,0.6363636363636364,10.0,0.9460196063758336
182,"(10, 20)",7.320853295525152,0.3233333333333333,0.09090909090909091,0.6363636363636364,10.0,0.9371692278360673
182,"(15, 15)",6.409291235711671,0.3333333333333333,0.0,0.6363636363636364,10.0,0.9480771055312143
182,"(25, 5)",5.969634460291047,0.31333333333333335,0.18181818181818182,0.5454545454545454,9.0,0.9251654292899563
365,"(5, 15)",11.857090588891715,0.55,0.0,0.8,4.0,0.833897669134591
365,"(10, 10)",11.014012138052918,0.42500000000000004,0.0,0.8,4.0,0.7621548952145376
365,"(15, 5)",5.74757062484348,0.45,0.0,0.8,4.0,0.7661143114150025
365,"(5, 20)",7.151511687123998,0.44999999999999996,0.0,0.8,4.0,0.9047488905861092
365,"(10, 15)",9.977250825975759,0.4,0.0,0.8,4.0,0.8732652772332397
365,"(15, 10)",8.471155606299302,0.41000000000000003,0.0,0.8,4.0,0.8777255860688842
365,"(5, 25)",7.960499566503394,0.325,0.0,0.8,4.0,0.9393693987597043
365,"(10, 20)",7.051674471401859,0.3333333333333333,0.0,0.8,4.0,0.9490505450255762
365,"(15, 15)",8.13643762160349,0.3416666666666666,0.0,0.8,4.0,0.9555489194053957
365,"(25, 5)",6.775079359748792,0.35000000000000003,0.0,0.8,4.0,0.9625740746326639
